RFC,RFC ID,USGS ID,Name,State,Area (km2),Hydrograph Type,GAGES II Ref.,CAMELS,NWM,Domain,Workflow,Notes
ABRFC,JOPM7,7187000,Shoal Creek Above Joplin MO,MO,1105.9,normal,N,N,Y,CONUS,Pass,
ABRFC,RNDO2,7311500,Deep Red Creek Near Randlett OK,OK,1564.3,normal,N,N,Y,CONUS,Pass,
ABRFC,CSNC2,7103700,Fountain Creek Near Colorado Springs CO,CO,264.2,low-flow,N,N,Y,CONUS,Pass,
&APRFC,MATA2,15284000,Matanuska R at Palmer AK,AK,5335.4,-,Y,N,Y,AK,Pass,
&APRFC,SIXA2,15271000,Sixmile C NR Hope AK,AK,606.057,-,Y,N,Y,AK,Pass,
&APRFC,WLWA2,15294005,Willow Creek Near Willow AK,AK,432.5,-,Y,N,Y,AK,Pass,Removed buffer
*CBRFC,ALEC2,9112500,East River At Almont CO,CO,748.5,snow-dom,N,N,Y,CONUS,Pass,
CBRFC,BERU1,10011500,Bear River Near Utah-Wyoming State Line,UT,445.5,snow-dom,N,N,Y,CONUS,Pass,
CBRFC,OAKA3,9504420,Oak Creek Near Sedona AZ,AZ,603.5,snow-dom,N,N,Y,CONUS,Pass,
CNRFC,CREC1,11532500,Smith River Near Crescent City CA,CA,1590.2,normal,Y,Y,Y,CONUS,Pass,
CNRFC,HPIC1,11264500,Merced River At Happy Isles Bridge Near Yosemite CA,CA,468.8,snow-dom,Y,Y,Y,CONUS,Pass,
%CNRFC,PRBC1,11147500,Salinas River At Paso Robles CA,CA,1010.1,normal,N,N,Y,CONUS,Pass,
LMRFC,WDVA1,3574500,Paint Rock River Near Woodville AL,AL,828.8,normal,Y,Y,Y,CONUS,Pass,
LMRFC,BDCL1,8010000,Bayou Des Cannes Near Eunice LA,LA,339.3,normal,N,N,Y,CONUS,Fail,Hydrofabric subsetting error
*LMRFC,PLAM6,2481880,Pearl River At Burnside MS,MS,1346.8,normal,N,N,Y,CONUS,Pass,
MARFC,CRTN6,1509000,Tioughnioga River At Cortland NY,NY,756.3,normal,N,N,Y,CONUS,Pass,
%MARFC,FDKM2,1643000,Monocacy River At Jug Bridge Near Frederick MD,MD,2116,normal,N,N,Y,CONUS,Pass,
MARFC,LODN4,1391500,Saddle River At Lodi NJ,NJ,141.4,normal,N,N,Y,CONUS,Pass,
MBRFC,BLRM7,6921720,Big Creek Near Blairstown MO,MO,1072.2,normal,N,N,Y,CONUS,Pass,
MBRFC,DUBW4,6218500,Wind River Near Dubois WY,WY,600.9,snow-dom,Y,N,Y,CONUS,Pass,
*MBRFC,PGEN8,6469400,Pipestem Creek Near Pingree ND,ND,1813,normal,N,N,Y,CONUS,Pass,
NCRFC,KALI4,5455500,English River At Kalona IA,IA,1486.6,normal,N,N,Y,CONUS,Pass,
*NCRFC,HWYM5,5061000,Buffalo River Near Hawley MN,MN,841.7,snow-dom,N,N,Y,CONUS,Pass,
NCRFC,HHTM4,4112850,Sycamore Creek At Holt Road Near Holt MI,MI,208.8,normal,N,N,Y,CONUS,Pass,
NERFC,NRWM3,1105000,Neponset River At Norwood MA,MA,89.9,normal,N,N,Y,CONUS,Pass,
NERFC,CENV1,4282000,Otter Creek At Center Rutland VT,VT,795.1,normal,N,N,Y,CONUS,Pass,
NERFC,CHRN6,4231000,Black Creek At Churchville NY,NY,336.7,normal,N,N,Y,CONUS,Pass,
NWRFC,FSSO3,14301000,Nehalem River Near Foss OR,OR,1727.5,normal,Y,Y,Y,CONUS,Pass,
NWRFC,DRSW1,12048000,Dungeness River Near Sequim WA,WA,404,normal,Y,Y,Y,CONUS,Pass,
NWRFC,WGCM8,12358500,Middle Fork Flathead River Near West Glacier MT,MT,2913.7,snow-dom,Y,Y,Y,CONUS,Pass,
OHRFC,DLYW2,3050000,Tygart Valley River Near Dailey WV,WV,486.9,normal,Y,Y,Y,CONUS,Pass,
OHRFC,DEPI3,3366500,Muscatatuck River Near Deputy IN,IN,758.9,normal,Y,Y,Y,CONUS,Pass,
OHRFC,LARO1,3217500,Scioto River At La Rue OH,OH,665.6,normal,N,N,Y,CONUS,Pass,
SERFC,VDSG1,023177483,Withlacoochee River At Skipper Bridge Road Near Bemiss GA,GA,1300.2,normal,N,N,Y,CONUS,Pass,
SERFC,CATA1,2421000,Catoma Creek Near Montgomery AL,AL,751.1,normal,N,N,Y,CONUS,Pass,
*SERFC,MKHF1,2299950,Manatee River At Sr 64 Near Myakka Head FL,FL,169.1,normal,Y,Y,Y,CONUS,Pass,
WGRFC,KLGT2,8020700,Rabbit Creek At Kilgore TX,TX,196.3,-,N,N,Y,CONUS,Pass,
WGRFC,ATIT2,8159000,Onion Creek At Us Highway 183 Austin TX,TX,831.4,flashy,N,N,Y,CONUS,Pass,
WGRFC,SDAT2,8070500,Caney Creek Near Splendora TX,TX,271.9,normal,N,N,Y,CONUS,Pass,
SERFC,COMP4,50043800,"Rio de la Plata at Comerio, PR",PR,303,-,N,N,Y,PR,Pass,Model attrs needed to be renamed
SERFC,MOCP4,50147800,Rio Culebrinas at HWY 404 nr Moca,PR,184.4,-,N,N,Y,PR,Pass,Model attrs needed to be renamed
SERFC,NGKP4,50075500,Rio Blanco at Florida,PR,28.5,-,N,N,Y,PR,Pass,Model attrs needed to be renamed
APRFC,HLEH1,16103000,"Hanalei River nr Hanalei, Kauai, HI",HI,47.9,-,N,N,Y,HI,Pass,
APRFC,WLUH1,16704000,"Wailuku River at Piihonua, HI",HI,384.9,-,N,N,Y,HI,Pass,
APRFC,WHSH1,16294100,"Waiahole Stream above Kamehameha Hwy, Oahu, HI",HI,9.9,-,N,N,Y,HI,Pass,